# Twarga Cloud MVP - Security Events Log
# This file will store security events and system logs

[2025-10-23 17:56:00] INFO - System initialized - SOC dashboard ready
[2025-10-23 17:56:00] INFO - Waiting for security events...2025-10-25 14:57:51,802 - watchfiles.main - INFO - 1 change detected
2025-10-25 14:57:52,153 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:52,504 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:52,855 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:53,206 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:53,557 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:53,908 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:54,258 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:54,609 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:54,960 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:55,310 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:55,661 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:56,012 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:56,363 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:56,714 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:57,064 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:57,415 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:57,766 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:58,117 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:58,468 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:58,818 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:59,169 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:59,520 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:57:59,871 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:00,222 - watchfiles.main - INFO - 2 changes detected
